,location,sourceelementkey,latitude,longitude
178,"{'type': 'Point', 'coordinates': [-122.33100429, 47.6048449]}",9770,47.6048449,-122.33100429
179,"{'type': 'Point', 'coordinates': [-122.34252848, 47.62265682]}",10053,47.62265682,-122.34252848
180,"{'type': 'Point', 'coordinates': [-122.34221647, 47.62263094]}",10054,47.62263094,-122.34221647
181,"{'type': 'Point', 'coordinates': [-122.32922659, 47.6213762]}",10153,47.6213762,-122.32922659
182,"{'type': 'Point', 'coordinates': [-122.32929908, 47.62470623]}",10157,47.62470623,-122.32929908
183,"{'type': 'Point', 'coordinates': [-122.32935349, 47.62599666]}",10161,47.62599666,-122.32935349
184,"{'type': 'Point', 'coordinates': [-122.32936627, 47.6273401]}",10165,47.6273401,-122.32936627
185,"{'type': 'Point', 'coordinates': [-122.34281523, 47.60858591]}",10202,47.60858591,-122.34281523
186,"{'type': 'Point', 'coordinates': [-122.34887474, 47.61233829]}",10209,47.61233829,-122.34887474
187,"{'type': 'Point', 'coordinates': [-122.34878316, 47.61245896]}",10210,47.61245896,-122.34878316
188,"{'type': 'Point', 'coordinates': [-122.34999168, 47.61299909]}",10213,47.61299909,-122.34999168
189,"{'type': 'Point', 'coordinates': [-122.3499266, 47.61312816]}",10214,47.61312816,-122.3499266
190,"{'type': 'Point', 'coordinates': [-122.3519287, 47.61414801]}",10217,47.61414801,-122.3519287
191,"{'type': 'Point', 'coordinates': [-122.35179456, 47.6142435]}",10218,47.6142435,-122.35179456
192,"{'type': 'Point', 'coordinates': [-122.3538062, 47.61525792]}",10221,47.61525792,-122.3538062
193,"{'type': 'Point', 'coordinates': [-122.35367301, 47.61534671]}",10222,47.61534671,-122.35367301
194,"{'type': 'Point', 'coordinates': [-122.35138201, 47.65029348]}",10277,47.65029348,-122.35138201
195,"{'type': 'Point', 'coordinates': [-122.35121175, 47.65026643]}",10278,47.65026643,-122.35121175
196,"{'type': 'Point', 'coordinates': [-122.35140629, 47.65108031]}",10281,47.65108031,-122.35140629
197,"{'type': 'Point', 'coordinates': [-122.35120378, 47.65098372]}",10282,47.65098372,-122.35120378
198,"{'type': 'Point', 'coordinates': [-122.33364073, 47.62205537]}",10797,47.62205537,-122.33364073
199,"{'type': 'Point', 'coordinates': [-122.33109893, 47.62203842]}",10801,47.62203842,-122.33109893
200,"{'type': 'Point', 'coordinates': [-122.33105357, 47.62190148]}",10802,47.62190148,-122.33105357
201,"{'type': 'Point', 'coordinates': [-122.34169609, 47.62213569]}",10869,47.62213569,-122.34169609
202,"{'type': 'Point', 'coordinates': [-122.34169227, 47.62197119]}",10870,47.62197119,-122.34169227
203,"{'type': 'Point', 'coordinates': [-122.34041259, 47.62212546]}",10873,47.62212546,-122.34041259
204,"{'type': 'Point', 'coordinates': [-122.3404443, 47.62196658]}",10874,47.62196658,-122.3404443
205,"{'type': 'Point', 'coordinates': [-122.32181013, 47.61228667]}",10877,47.61228667,-122.32181013
206,"{'type': 'Point', 'coordinates': [-122.32203862, 47.61584917]}",10886,47.61584917,-122.32203862
207,"{'type': 'Point', 'coordinates': [-122.33064935, 47.61057752]}",11018,47.61057752,-122.33064935
208,"{'type': 'Point', 'coordinates': [-122.33308082, 47.60214374]}",11105,47.60214374,-122.33308082
209,"{'type': 'Point', 'coordinates': [-122.33299949, 47.60202939]}",11106,47.60202939,-122.33299949
210,"{'type': 'Point', 'coordinates': [-122.32904642, 47.6027045]}",11118,47.6027045,-122.32904642
211,"{'type': 'Point', 'coordinates': [-122.32240985, 47.60548567]}",11126,47.60548567,-122.32240985
212,"{'type': 'Point', 'coordinates': [-122.35347951, 47.61982967]}",11129,47.61982967,-122.35347951
213,"{'type': 'Point', 'coordinates': [-122.35348672, 47.61968988]}",11130,47.61968988,-122.35348672
214,"{'type': 'Point', 'coordinates': [-122.34817375, 47.61980447]}",11133,47.61980447,-122.34817375
215,"{'type': 'Point', 'coordinates': [-122.34825757, 47.61967866]}",11134,47.61967866,-122.34825757
216,"{'type': 'Point', 'coordinates': [-122.34040169, 47.6197865]}",11137,47.6197865,-122.34040169
217,"{'type': 'Point', 'coordinates': [-122.34052184, 47.6196361]}",11138,47.6196361,-122.34052184
218,"{'type': 'Point', 'coordinates': [-122.34354379, 47.61220955]}",11397,47.61220955,-122.34354379
219,"{'type': 'Point', 'coordinates': [-122.3434196, 47.61213067]}",11398,47.61213067,-122.3434196
220,"{'type': 'Point', 'coordinates': [-122.32789226, 47.60809623]}",11590,47.60809623,-122.32789226
221,"{'type': 'Point', 'coordinates': [-122.32676193, 47.60857537]}",11594,47.60857537,-122.32676193
222,"{'type': 'Point', 'coordinates': [-122.32453442, 47.6095135]}",11598,47.6095135,-122.32453442
223,"{'type': 'Point', 'coordinates': [-122.33170659, 47.60567221]}",11665,47.60567221,-122.33170659
224,"{'type': 'Point', 'coordinates': [-122.32616272, 47.60797179]}",11669,47.60797179,-122.32616272
225,"{'type': 'Point', 'coordinates': [-122.32610222, 47.6079004]}",11670,47.6079004,-122.32610222
226,"{'type': 'Point', 'coordinates': [-122.32393114, 47.60890535]}",11673,47.60890535,-122.32393114
227,"{'type': 'Point', 'coordinates': [-122.3238706, 47.60883396]}",11674,47.60883396,-122.3238706
228,"{'type': 'Point', 'coordinates': [-122.32515508, 47.59961466]}",11717,47.59961466,-122.32515508
229,"{'type': 'Point', 'coordinates': [-122.32495245, 47.59960682]}",11718,47.59960682,-122.32495245
230,"{'type': 'Point', 'coordinates': [-122.3547637, 47.62449467]}",11766,47.62449467,-122.3547637
