,blockfacename,location,paidparkingarea,paidparkingsubarea,parkingcategory,parkingspacecount,parkingtimelimitcategory,sideofstreet,sourceelementkey,latitude,longitude
49,2ND AVE BETWEEN CEDAR ST AND CLAY ST,"{'type': 'Point', 'coordinates': [-122.35013825, 47.61679414]}",Belltown,North,Paid Parking,6,240.0,NE,2786,47.61679414,-122.35013825
50,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,"{'type': 'Point', 'coordinates': [-122.35232441, 47.61785729]}",Belltown,North,Paid Parking,10,240.0,SW,2789,47.61785729,-122.35232441
51,2ND AVE BETWEEN BROAD ST AND 2ND WR AVE,"{'type': 'Point', 'coordinates': [-122.35215625, 47.61798731]}",Belltown,North,Paid Parking,5,240.0,NE,2790,47.61798731,-122.35215625
52,2ND AVE N BETWEEN JOHN ST AND THOMAS ST,"{'type': 'Point', 'coordinates': [-122.35293883, 47.62036489]}",Uptown,Edge,Paid Parking,9,240.0,W,2793,47.62036489,-122.35293883
53,2ND AVE N BETWEEN MERCER ST AND ROY ST,"{'type': 'Point', 'coordinates': [-122.3529021, 47.62500671]}",Uptown,Edge,Paid Parking,4,240.0,W,2797,47.62500671,-122.3529021
54,2ND AVE N BETWEEN MERCER ST AND ROY ST,"{'type': 'Point', 'coordinates': [-122.35266686, 47.62501129]}",Uptown,Edge,Paid Parking,10,240.0,E,2798,47.62501129,-122.35266686
55,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,"{'type': 'Point', 'coordinates': [-122.33169823, 47.60045072]}",Pioneer Square,Core,Paid Parking,14,120.0,W,2921,47.60045072,-122.33169823
56,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,"{'type': 'Point', 'coordinates': [-122.33143883, 47.60044775]}",Pioneer Square,Core,Paid Parking,19,120.0,E,2922,47.60044775,-122.33143883
57,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,"{'type': 'Point', 'coordinates': [-122.33170118, 47.59962395]}",Pioneer Square,Core,Paid Parking,4,120.0,W,2925,47.59962395,-122.33170118
58,2ND AVE S BETWEEN S MAIN ST AND S JACKSON ST,"{'type': 'Point', 'coordinates': [-122.33144581, 47.59962608]}",Pioneer Square,Core,Paid Parking,7,120.0,E,2926,47.59962608,-122.33144581
59,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,"{'type': 'Point', 'coordinates': [-122.32990794, 47.59960565]}",Pioneer Square,Edge,Paid Parking,5,120.0,NE,2986,47.59960565,-122.32990794
60,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,"{'type': 'Point', 'coordinates': [-122.38222168, 47.66906278]}",Ballard,Edge,Paid Parking,3,240.0,W,3081,47.66906278,-122.38222168
61,20TH AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,"{'type': 'Point', 'coordinates': [-122.38203494, 47.66907198]}",Ballard,Edge,Paid Parking,4,240.0,E,3082,47.66907198,-122.38203494
62,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,"{'type': 'Point', 'coordinates': [-122.38482847, 47.66717275]}",Ballard,Edge,Paid Parking,8,240.0,W,3337,47.66717275,-122.38482847
63,22ND AVE NW BETWEEN SHILSHOLE AVE NW AND BALLARD AVE NW,"{'type': 'Point', 'coordinates': [-122.38465823, 47.66711637]}",Ballard,Edge,Paid Parking,9,240.0,E,3338,47.66711637,-122.38465823
64,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,"{'type': 'Point', 'coordinates': [-122.38484953, 47.66908694]}",Ballard,Core,Paid Parking,5,120.0,W,3341,47.66908694,-122.38484953
65,22ND AVE NW BETWEEN NW MARKET ST AND NW 56TH ST,"{'type': 'Point', 'coordinates': [-122.38463849, 47.66908384]}",Ballard,Core,Paid Parking,5,30.0,E,3342,47.66908384,-122.38463849
66,3RD AVE BETWEEN WALL ST AND VINE ST,"{'type': 'Point', 'coordinates': [-122.34756286, 47.61625081]}",Belltown,North,Paid Parking,10,240.0,SW,4437,47.61625081,-122.34756286
67,3RD AVE BETWEEN WALL ST AND VINE ST,"{'type': 'Point', 'coordinates': [-122.34742027, 47.61636316]}",Belltown,North,Paid Parking,9,240.0,NE,4438,47.61636316,-122.34742027
68,3RD AVE BETWEEN CLAY ST AND BROAD ST,"{'type': 'Point', 'coordinates': [-122.35037128, 47.61790727]}",Belltown,North,Paid Parking,8,240.0,SW,4441,47.61790727,-122.35037128
69,3RD AVE BETWEEN CLAY ST AND BROAD ST,"{'type': 'Point', 'coordinates': [-122.35022717, 47.61801873]}",Belltown,North,Paid Parking,8,240.0,NE,4442,47.61801873,-122.35022717
70,37TH AVE S BETWEEN S FERDINAND ST AND S HUDSON ST,"{'type': 'Point', 'coordinates': [-122.28608789, 47.55743593]}",Columbia City,,Paid Parking,8,240.0,E,5802,47.55743593,-122.28608789
